n,seconds
1,0.0000066000
2,0.0000027000
3,0.0000029000
4,0.0000035000
5,0.0000040000
6,0.0000047000
7,0.0000051000
8,0.0000060000
9,0.0000078000
10,0.0000075000
11,0.0000086000
12,0.0000097000
13,0.0000095000
14,0.0000103000
15,0.0000118000
16,0.0000126000
17,0.0000134000
18,0.0000140000
19,0.0000153000
20,0.0000162000
21,0.0000172000
22,0.0000183000
23,0.0000251000
24,0.0000203000
25,0.0000215000
26,0.0000228000
27,0.0000270000
28,0.0000256000
29,0.0000276000
30,0.0000289000
31,0.0000302000
32,0.0000315000
33,0.0000322000
34,0.0000357000
35,0.0000352000
36,0.0000363000
37,0.0000448000
38,0.0000403000
39,0.0000857000
40,0.0000485000
41,0.0000451000
42,0.0000461000
43,0.0000478000
44,0.0000510000
45,0.0000515000
46,0.0000540000
47,0.0000558000
48,0.0000596000
49,0.0000575000
50,0.0000593000
51,0.0000613000
52,0.0000634000
53,0.0000663000
54,0.0000685000
55,0.0000711000
56,0.0000738000
57,0.0000760000
58,0.0000779000
59,0.0000836000
60,0.0000828000
61,0.0000852000
62,0.0001108000
63,0.0000906000
64,0.0000921000
65,0.0000979000
66,0.0000981000
67,0.0001002000
68,0.0001067000
69,0.0001064000
70,0.0001088000
71,0.0001118000
72,0.0001150000
73,0.0001181000
74,0.0001213000
75,0.0001309000
76,0.0001288000
77,0.0001321000
78,0.0001355000
79,0.0001414000
80,0.0001421000
81,0.0001454000
82,0.0001503000
83,0.0001504000
84,0.0001584000
85,0.0001578000
86,0.0001604000
87,0.0001665000
88,0.0001681000
89,0.0001758000
90,0.0001762000
91,0.0001800000
92,0.0001831000
93,0.0001853000
94,0.0001889000
95,0.0002026000
96,0.0002016000
97,0.0002021000
98,0.0002095000
99,0.0002109000
100,0.0002168000
101,0.0002203000
102,0.0002243000
103,0.0002289000
104,0.0002304000
105,0.0002338000
106,0.0002373000
107,0.0002412000
108,0.0002487000
109,0.0002509000
110,0.0002577000
111,0.0002595000
112,0.0002649000
113,0.0002694000
114,0.0002721000
115,0.0002798000
116,0.0002836000
117,0.0002882000
118,0.0002921000
119,0.0002951000
120,0.0003005000
121,0.0003036000
122,0.0003112000
123,0.0003141000
124,0.0003206000
125,0.0003230000
126,0.0003271000
127,0.0003331000
128,0.0003349000
129,0.0003680000
130,0.0003547000
131,0.0003542000
132,0.0003599000
133,0.0003620000
134,0.0003682000
135,0.0003775000
136,0.0003758000
137,0.0003824000
138,0.0003869000
139,0.0003917000
140,0.0004099000
141,0.0003997000
142,0.0004107000
143,0.0004145000
144,0.0004182000
145,0.0004223000
146,0.0004271000
147,0.0004292000
148,0.0004376000
149,0.0004447000
150,0.0004582000
151,0.0004578000
152,0.0004721000
153,0.0004698000
154,0.0004788000
155,0.0004818000
156,0.0004856000
157,0.0004875000
158,0.0004933000
159,0.0005010000
160,0.0005096000
161,0.0005127000
162,0.0007590000
163,0.0007636000
164,0.0007836000
165,0.0005636000
166,0.0005497000
167,0.0005575000
168,0.0005667000
169,0.0005789000
170,0.0005764000
171,0.0005780000
172,0.0005777000
173,0.0005843000
174,0.0005921000
175,0.0005966000
176,0.0006070000
177,0.0006147000
178,0.0006298000
179,0.0006274000
180,0.0006427000
181,0.0006372000
182,0.0006463000
183,0.0006610000
184,0.0006703000
185,0.0006662000
186,0.0006711000
187,0.0006809000
188,0.0006808000
189,0.0006902000
190,0.0007039000
191,0.0007047000
192,0.0007161000
193,0.0007194000
194,0.0007275000
195,0.0008554000
196,0.0007448000
197,0.0007498000
198,0.0007573000
199,0.0007633000
200,0.0007662000
201,0.0007794000
202,0.0008035000
203,0.0007895000
204,0.0007990000
205,0.0008058000
206,0.0008111000
207,0.0008204000
208,0.0008289000
209,0.0008489000
210,0.0008528000
211,0.0008690000
212,0.0008716000
213,0.0008713000
214,0.0008911000
215,0.0009028000
216,0.0009134000
217,0.0009030000
218,0.0009100000
219,0.0009225000
220,0.0009332000
221,0.0009365000
222,0.0012240000
223,0.0013793000
224,0.0010191000
225,0.0010129000
226,0.0010619000
227,0.0010348000
228,0.0010451000
229,0.0010397000
230,0.0011034000
231,0.0010461000
232,0.0010632000
233,0.0011104000
234,0.0010389000
235,0.0010419000
